Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Code,Priority_Code,Payment_Mode_Encoded
S372486,O40352,C6710,Fatima Noor,,919316399195,Bangalore,Unknown,South,400001.0,P9767,Mobile,Electronics,76.19811233738129,9.0,2127.286521221502,177191.33481676033,2022-03-04,2024-10-24,1.0,Delayed,Ship,V950,Mr. Lee,Truck,R538,7342.820680526852,1384.7745955000685,Warehouse B,South Hub,Ms. Verma,Low,Unknown,No,Not Returned,Handle With Care,19145.57869099352,965 days,0.18858891640544734,169848.51413623348,Yes,Low Priority,0.0,1.0,5
S734726,O77929,C3183,Michael Brown,Amit@Gmail.Com,917852158344,Chennai,Uk,Unknown,400001.0,P3552,Headphones,Food,43.04033132667569,10.0,2473.7388485041297,18639.484645313456,2023-01-17,2023-07-27,4.0,In Transit,Road,V529,Mr. Rao,Cargo,R213,352.5252197417602,1009.2353840107952,Unknown,North Hub,Mr. Khan,High,Card,Unknown,Pending,No Remarks,24737.388485041298,191 days,2.8628742781866876,18286.959425571695,Yes,Urgent,0.0,3.0,0
S728975,O40008,C3098,Jane Smith,Amit@Gmail.Com,918298796637,Mumbai,Unknown,East,600001.0,P7970,Headphones,Electronics,29.47729944970517,11.0,1937.4876677627856,79017.03622621998,2020-09-10,2024-08-04,13.0,Cancelled,Rail,V153,Mr. Lee,Cargo,R520,8916.361692792909,65.59446973231886,Warehouse B,North Hub,Mr. Khan,High,Upi,Yes,Not Returned,Check Packaging,21312.36434539064,1424 days,0.007356640745668588,70100.67453342707,Yes,Urgent,4.0,3.0,6
S427342,O36381,C5569,John Doe,John@Example.Com,916712246490,Unknown,India,South,110001.0,P5921,Tablet,Electronics,11.235196985833792,11.0,4624.872973105552,90097.76479821977,2022-06-02,2025-06-19,11.0,Delayed,Road,V711,Mr. Lee,Bike,R650,6853.33280857354,738.6984001823912,Warehouse A,Central,Mr. Patel,Low,Debit,Yes,Pending,No Remarks,50873.60270416107,1113 days,0.10778673979735484,83244.43198964623,Yes,Low Priority,3.0,1.0,3
S639574,O65339,C2260,John Doe,,919440752144,Unknown,Unknown,West,560001.0,P4181,Unknown,Electronics,59.44524960177323,7.0,2473.7388485041297,47175.32970533122,2020-02-23,2022-07-06,11.0,Delayed,Ship,V614,Mrs. Patel,Cargo,R612,6663.056267014754,151.0244465801482,Unknown,North Hub,Unknown,Medium,Debit,Unknown,Returned,Handle With Care,17316.171939528907,864 days,0.022665941953363036,40512.273438316464,Yes,Normal,3.0,2.0,3
S694897,O55928,C7775,Michael Brown,,918536798041,Mumbai,Usa,South,400001.0,P2639,Mobile,Unknown,80.31859958502694,13.0,3619.05414454862,148375.78601095933,2022-09-21,2023-08-30,9.0,Delivered,Unknown,V371,Mr. Lee,Cargo,R270,8607.49252558509,490.7450036521326,Warehouse B,Central,Mr. Patel,Medium,Debit,No,Unknown,Handle With Care,47047.70387913206,343 days,0.057013700818610284,139768.29348537425,Yes,Normal,3.0,2.0,3
S789076,O58826,C3367,Li Wei,Amit@Gmail.Com,916820876325,Unknown,India,North,400001.0,P4437,Charger,Furniture,92.22648638480013,16.0,4386.362714030262,97446.15289517608,2020-06-03,2020-12-26,12.0,Delivered,Air,V468,Mr. Lee,Bike,R525,2530.987075191979,1267.0122150755228,Warehouse A,North Hub,Ms. Verma,Medium,Debit,Yes,Pending,Check Packaging,70181.8034244842,206 days,0.5006000336763546,94915.1658199841,Yes,Normal,3.0,2.0,3
S416457,O85033,C8390,Michael Brown,,917874365656,Mumbai,Usa,North,600001.0,P9411,Charger,Accessories,45.87896342959508,13.0,405.8528002700663,47175.32970533122,2024-02-06,2024-12-28,8.0,Delivered,Ship,V193,Mr. Lee,Bike,R687,8813.090633228108,632.8260178130992,Unknown,Unknown,Mr. Patel,Unknown,Cash,Unknown,Not Returned,Check Packaging,5276.0864035108625,326 days,0.07180523202917569,38362.23907210311,Yes,,1.0,0.0,1
S618003,O67221,C2313,Michael Brown,Amit@Gmail.Com,918979222732,Chennai,Unknown,East,600001.0,P9366,Unknown,Furniture,82.95938216061697,13.0,802.3631791511527,52705.98887664019,2020-01-22,2022-02-19,12.0,In Transit,Rail,V831,Ms. Sharma,Cargo,R777,6853.33280857354,709.6553950141215,Hub C,Unknown,Ms. Verma,Medium,Credit,Yes,Pending,No Remarks,10430.721328964986,759 days,0.10354894688994827,45852.65606806665,Yes,Normal,2.0,2.0,2
S476484,O24048,C7410,Not Provided,Amit@Gmail.Com,916066672764,Mumbai,Uk,South,400001.0,P6416,Tablet,Unknown,49.770102556071386,11.0,4283.776422510859,131061.78180224224,2024-07-31,2024-12-30,0.0,Pending,Ship,V753,Mr. Lee,Cargo,R476,8553.133890518824,173.60676437137283,Warehouse A,South Hub,Mr. Khan,Unknown,Debit,Unknown,Unknown,No Remarks,47121.540647619455,152 days,0.020297444959188175,122508.64791172341,No,,3.0,0.0,3
